,mass,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_mass,star_mass_error_min,star_mass_error_max
5282,0.7909999999999999,0.06,0.064,1.0859999999999999,0.048,0.081,2.2554477000000004,6.3e-06,6.3e-06,5880.0,49.0,54.0,1.147,0.075,0.069
5302,0.7,0.16,0.16,1.4,0.13,0.22,3.208666,1.6e-05,1.6e-05,5984.0,57.0,57.0,1.499,0.15,0.061
5319,0.9740000000000001,0.076,0.076,1.0,0.026000000000000002,0.026000000000000002,3.7130818,3e-06,3e-06,4673.0,55.0,55.0,0.8190000000000001,0.03,0.03
5333,1.6248,0.1029,0.1029,1.2187,0.0366,0.0366,6.54406,6e-06,6e-06,6232.0,123.245,123.245,1.2,0.168,0.168
5351,0.6639,0.063,0.066,1.1316,0.0631,0.0631,9.077534,8.499999999999999e-05,8.499999999999999e-05,6125.85,120.726,120.726,1.157,0.1578,0.1578
5377,0.92,0.19,0.19,1.453,0.048,0.053,3.6240801,2.5e-06,2.5e-06,6280.0,160.0,160.0,1.2329999999999999,0.09,0.077
5378,0.82,0.08,0.08,0.96,0.012,0.012,8.600769999999999,2.9999999999999997e-05,2.9999999999999997e-05,5673.0,50.0,50.0,1.12,0.12,0.12
5382,0.65,0.16,0.16,1.0170000000000001,0.051,0.051,6.90683,9e-05,9e-05,5966.0,136.0,136.0,1.53,0.12,0.12
5383,0.94,0.18,0.18,1.77,0.22,0.0,2.1225735,1.6e-06,1.6e-06,5966.0,72.0,72.0,1.082,0.05,0.05
5388,0.64,0.12,0.12,0.995,0.027999999999999997,0.027999999999999997,8.001968,2.5e-05,2.5e-05,6101.0,75.0,75.0,1.296,0.07,0.07
5400,1.0,0.15,0.15,0.9,0.1,0.1,2.99432,8e-05,8e-05,4780.0,100.0,100.0,1.325,0.12,0.12
5408,1.966,0.06,0.06,1.025,0.02,0.02,2.13570304,4e-07,4e-07,3943.0,14.0,14.0,0.635,0.016,0.016
